rows
name-AREA
бесплатная/правовая/помощь/лицам/вынужденно/покинувшим/территорию/донецкой/луганской/народных/республик/украины/и/лиц/проживающих/на/освобожденных-Социальное обслуживание, социальная поддержка и защита граждан
адаптационный/центр/детей/дошкольного/возраста/прибывших/с/территории/донбасса/и/украины-Социальное обслуживание, социальная поддержка и защита граждан
помогоша-Социальное обслуживание, социальная поддержка и защита граждан
комплексный/гуманитарный/центр/дмитриевского/района-Социальное обслуживание, социальная поддержка и защита граждан
сила/добровольчества-Социальное обслуживание, социальная поддержка и защита граждан
сундучок/помощи/неодни-Социальное обслуживание, социальная поддержка и защита граждан
просветительский/проект/твой/путь-Развитие общественной дипломатии и поддержка соотечественников
zа/четкий/слух/социальная/и/аудиологическая/поддержка/граждан/со/сниженным/слухом/и/речью/проживающих/в/приграничных/районах/брянской/области/рф/с/-Социальное обслуживание, социальная поддержка и защита граждан
близкие/люди-Социальное обслуживание, социальная поддержка и защита граждан
программа/помощи/защиты/и/просвещения/населения/освобожденных/территорий/г/херсона/и/херсонской/области-Социальное обслуживание, социальная поддержка и защита граждан
точка/опоры/организация/помощи/детям/и/молодёжи/лутугинского/района/луганской/народной/республики-Развитие общественной дипломатии и поддержка соотечественников
патриотический/проект/новые/герои/россии-Социальное обслуживание, социальная поддержка и защита граждан
шагай/со/мной-Социальное обслуживание, социальная поддержка и защита граждан
разработка/и/реализация/индивидуальных/программ/реабилитации/пациентов/с/онкологическими/заболеваниями/кишечника/в/условиях/внешнего/стрессфактора-Социальное обслуживание, социальная поддержка и защита граждан
центр/без/границ/физическая/социальная/и/психологическая/реабилитация/детей/с/диагнозом/дцп/синдром/дауна/аутизм/и/другими/ограниченными/возможнос-Социальное обслуживание, социальная поддержка и защита граждан
гуманитарные/миссии/в/донецкую/и/луганскую/народные/республики-Развитие общественной дипломатии и поддержка соотечественников
инклюзивный/центр/социальной/реабилитации/новые/возможности-Социальное обслуживание, социальная поддержка и защита граждан
дорогой/жизни-Социальное обслуживание, социальная поддержка и защита граждан
мы/вместе-Социальное обслуживание, социальная поддержка и защита граждан
место/встречи-Социальное обслуживание, социальная поддержка и защита граждан
центр/социальной/адаптации/и/реабилитации/воин-Социальное обслуживание, социальная поддержка и защита граждан
счастливая/мультшкола-Социальное обслуживание, социальная поддержка и защита граждан
всероссийская/акция/ёлка/желаний-Социальное обслуживание, социальная поддержка и защита граждан
библиодесант-Развитие общественной дипломатии и поддержка соотечественников
доброе/швейное/дело-Социальное обслуживание, социальная поддержка и защита граждан
vместе/zа/жизнь-Социальное обслуживание, социальная поддержка и защита граждан
площадка/социальной/помощи/гражданам/прибывшим/с/территории/донбасса/и/украины//переzагрузка-Социальное обслуживание, социальная поддержка и защита граждан
штаб/вклада/в/победу-Развитие общественной дипломатии и поддержка соотечественников
школа/первой/помощи/золотые/минуты-Социальное обслуживание, социальная поддержка и защита граждан
правовая/и/психологическая/помощь/гражданам/прибывшим/в/архангельскую/область/с/территории/днр/лнр/украины/военнослужащим/рф/и/членам/их/семей-Социальное обслуживание, социальная поддержка и защита граждан
территория/надежды-Социальное обслуживание, социальная поддержка и защита граждан
гуманитарная/помощь/вынужденным/переселенцам/с/территории/украины/с/ограниченными/возможностями/здоровья-Социальное обслуживание, социальная поддержка и защита граждан
правовой/центр/поддержки/жителей/донецкой/народной/республики-Развитие общественной дипломатии и поддержка соотечественников
университет/ворди/специальная/программа/маршрут/помощи/детяминвалидам/для/качественной/жизни/их/семей-Социальное обслуживание, социальная поддержка и защита граждан
внедрение/эффективных/технологий/для/обучения/детей/с/расстройствами/аутистического/спектра/в/коррекционных/классах-Социальное обслуживание, социальная поддержка и защита граждан
к/миру/с/творчеством/вместе-Развитие общественной дипломатии и поддержка соотечественников
включи/родителя/-Социальное обслуживание, социальная поддержка и защита граждан
добро/пожаловать/в/российскую/семью-Развитие общественной дипломатии и поддержка соотечественников
формирование/системы/психологической/помощи/на/территории/луганской/народной/республики-Социальное обслуживание, социальная поддержка и защита граждан
социальная/реабилитация/людей/с/психическими/расстройствами/и/членов/их/семей/да/могу/полноценно/жить-Социальное обслуживание, социальная поддержка и защита граждан
в/новую/жизнь/без/барьеров-Развитие общественной дипломатии и поддержка соотечественников
социальнообразовательный/проект/рядом-Социальное обслуживание, социальная поддержка и защита граждан
vместе/мы/справимся-Социальное обслуживание, социальная поддержка и защита граждан
к/материнству//бережно-Социальное обслуживание, социальная поддержка и защита граждан
дом/для/мамы/помощь/семьям/с/детьми/пострадавшим/в/результате/боевых/действий/донбасса/и/украины/прибывшие/на/территорию/рф-Социальное обслуживание, социальная поддержка и защита граждан
круг/поддержки-Социальное обслуживание, социальная поддержка и защита граждан
комплексная/медикосоциальная/помощь/жителям/донбасса/и/украины-Социальное обслуживание, социальная поддержка и защита граждан
центр/социальной/адаптации/и/помощи/александра/пересвета-Социальное обслуживание, социальная поддержка и защита граждан
формирование/социокультурных/ценностей/русского/мира/у/молодежи/донбасса-Развитие общественной дипломатии и поддержка соотечественников
единый/координационный/центр/помощи/отдельным/категориям/граждан/интеграция-Социальное обслуживание, социальная поддержка и защита граждан
творческая/мастерская/многоцветье/гафури//делимся/добром-Социальное обслуживание, социальная поддержка и защита граждан
психологическая/безопасность/в/семье/социальные/аспекты/и/ресурсы-Социальное обслуживание, социальная поддержка и защита граждан
жизнь/продолжается-Социальное обслуживание, социальная поддержка и защита граждан
гуманитарная/миссия/волонтерской/роты-Развитие общественной дипломатии и поддержка соотечественников
социальноправовая/помощь/лицам/прибывшим/с/территорий/донбасса/и/украины-Социальное обслуживание, социальная поддержка и защита граждан
гордясь/прошлым/создадим/будущее/вместе-Социальное обслуживание, социальная поддержка и защита граждан
калейдоскоп/детства/программа/социализации/детей/дошкольного/возраста/прибывших/с/территорий/донбасса/и/украины/в/вологодскую/область-Социальное обслуживание, социальная поддержка и защита граждан
территория/добра/помощь/людям/прибывшим/с/донбасса/и/украины-Социальное обслуживание, социальная поддержка и защита граждан
сделай/шаг-Социальное обслуживание, социальная поддержка и защита граждан
карелия/приглашает-Социальное обслуживание, социальная поддержка и защита граждан
человек/человеку-Социальное обслуживание, социальная поддержка и защита граждан
женщины/помогают/женщинам-Социальное обслуживание, социальная поддержка и защита граждан
транспорт/для/социальной/сферы/днр-Развитие общественной дипломатии и поддержка соотечественников
речные/зори-Социальное обслуживание, социальная поддержка и защита граждан
на/земле/россия-Развитие общественной дипломатии и поддержка соотечественников
программы/сопровождения/семьи/на/экстренном/и/кризисном/уровнях/очень/нужно-Социальное обслуживание, социальная поддержка и защита граждан
глухарики/днр/и/лнр/на/утренней/звезде-Социальное обслуживание, социальная поддержка и защита граждан
журавли-Социальное обслуживание, социальная поддержка и защита граждан
организация/психологической/поддержки/семей/беженцев/и/переселенцев/в/процессе/социального/сопровождения-Социальное обслуживание, социальная поддержка и защита граждан
единение-Социальное обслуживание, социальная поддержка и защита граждан
близкие/рядом-Социальное обслуживание, социальная поддержка и защита граждан
крылья/надежды//детям/и/героям/донбасса-Развитие общественной дипломатии и поддержка соотечественников
донбасс/учимся/вместе-Социальное обслуживание, социальная поддержка и защита граждан
о/спорт/тымир-Развитие общественной дипломатии и поддержка соотечественников
другая/жизнь/культурновосстановительный/глэмпинг/для/людей/с/ограниченными/возможностями/здоровья-Социальное обслуживание, социальная поддержка и защита граждан
социальная/столовая/для/глухих/и/слабослышащих/людей/города/казани-Социальное обслуживание, социальная поддержка и защита граждан
жизнь/продолжается-Социальное обслуживание, социальная поддержка и защита граждан
интеллектуальное/содружество-Развитие общественной дипломатии и поддержка соотечественников
iv/международный/патриотический/форум/миротворчество/поколений/в/исторической/памяти/российского/государства-Развитие общественной дипломатии и поддержка соотечественников
маяк-Развитие общественной дипломатии и поддержка соотечественников
разработка/программы/обучения/для/патронажной/школы-Социальное обслуживание, социальная поддержка и защита граждан
помощь/в/адаптации/в/новых/условиях-Социальное обслуживание, социальная поддержка и защита граждан
луганск//территория/свободного/движения-Социальное обслуживание, социальная поддержка и защита граждан
своих/не/бросаем/программа/поддержки/граждан/прибывших/с/территории/донбасса/и/украины/в/г/мончегорск-Социальное обслуживание, социальная поддержка и защита граждан
благородство-Социальное обслуживание, социальная поддержка и защита граждан
цент/психологосоциальной/поддержки/ветеранов/боевых/действий/возвращение-Социальное обслуживание, социальная поддержка и защита граждан
неотложная/помощь/оказание/поддержки/семьям/с/особыми/детьми/и/взрослыми/из/числа/беженцев/и/вынужденных/переселенцев/или/находящихся/в/трудной/жизне-Социальное обслуживание, социальная поддержка и защита граждан
вместе/мы/сила-Развитие общественной дипломатии и поддержка соотечественников
время/помогать-Социальное обслуживание, социальная поддержка и защита граждан
детство/в/радость-Социальное обслуживание, социальная поддержка и защита граждан
благовест/центр/новых/возможностей-Социальное обслуживание, социальная поддержка и защита граждан
помощь/жителям/из/лнр/и/днр-Социальное обслуживание, социальная поддержка и защита граждан
время/помощи-Социальное обслуживание, социальная поддержка и защита граждан
солнечный/зайчик/проект/направленный/на/социальную/адаптацию/детейинвалидов/с/ментальными/нарушениями/средствами/арттерапии/а/также/оказание/соц-Социальное обслуживание, социальная поддержка и защита граждан
новое/дыхание-Социальное обслуживание, социальная поддержка и защита граждан
я/учусь/жить//в/трудной/жизненной/ситуации-Социальное обслуживание, социальная поддержка и защита граждан
мобильный/пункт/заботы/поможем/вместе-Социальное обслуживание, социальная поддержка и защита граждан
берег//дающие/надежду-Социальное обслуживание, социальная поддержка и защита граждан
мывместе/с/донбассом-Развитие общественной дипломатии и поддержка соотечественников
инклюзивная/студия/глина/помогает/говорить-Социальное обслуживание, социальная поддержка и защита граждан
программа/поддержки/раненых/участников/сво/агрегатор/счастья//путь/к/миру-Социальное обслуживание, социальная поддержка и защита граждан
изменения/в/условиях/нестабильности/поддержка/и/трудоустройство/людей/с/инвалидностью-Социальное обслуживание, социальная поддержка и защита граждан
защищенное/детство-Развитие общественной дипломатии и поддержка соотечественников
оказание/медикопсихологической/помощи/пострадавшим/от/вооруженного/конфликта/на/донбассе-Социальное обслуживание, социальная поддержка и защита граждан
детское/время/организация/центров/досуга/и/общего/развития/детей/на/базе/пунктов/временного/размещения-Социальное обслуживание, социальная поддержка и защита граждан
зимний/кубок-Социальное обслуживание, социальная поддержка и защита граждан
неваляшкин/работаем-Социальное обслуживание, социальная поддержка и защита граждан
база/жизни-Социальное обслуживание, социальная поддержка и защита граждан
авто/помощи-Социальное обслуживание, социальная поддержка и защита граждан
коворкингцентр/для/женщин/прибывших/с/территории/донбасса/и/украины-Социальное обслуживание, социальная поддержка и защита граждан
мы/вместе/баскетбол/на/колясках-Социальное обслуживание, социальная поддержка и защита граждан
под/крылом/доброты-Социальное обслуживание, социальная поддержка и защита граждан
помочь/вовремя/кризисная/помощь/вич/положительным/женщинам/с/детьми-Социальное обслуживание, социальная поддержка и защита граждан
культурнопознавательный/туризм/аланские/тропы-Социальное обслуживание, социальная поддержка и защита граждан
мы/вместе//программа/психологической/реабилитации/социальной/адаптации/женщин/имеющих/детей/от//до//лет/временно/проживающих/на/территории/горо-Социальное обслуживание, социальная поддержка и защита граждан
казачий/добровольческий/гуманитарный/конвой/ставрополье//антрациту-Развитие общественной дипломатии и поддержка соотечественников
усилиями/сообщества-Социальное обслуживание, социальная поддержка и защита граждан
комплексная/программа/поддержки/и/развития/детей/с/онкологическими/заболеваниями/и/их/семей/в/условиях/геополитического/кризиса/и/санкционного/давлени-Социальное обслуживание, социальная поддержка и защита граждан
будет/хлеб/будет/и/обед-Социальное обслуживание, социальная поддержка и защита граждан
центр/адаптации/и/помощи/прибывшим/с/территорий/донбасса/и/украины/поколение-Социальное обслуживание, социальная поддержка и защита граждан
помощь/гражданам/из/днр/лнр/и/украины/прибывшим/на/территорию/ростовской/области-Социальное обслуживание, социальная поддержка и защита граждан
не/один/дома/служба/социального/патронажа/для/детей/с/тяжелыми/нарушениями/развития/в/санктпетербурге-Социальное обслуживание, социальная поддержка и защита граждан
зоодруг//помощь/приютам/для/бездомных/животных/и/волонтёрам/донбасса-Развитие общественной дипломатии и поддержка соотечественников
содействие/религиозным/организациям/донбасса/и/освобожденных/территорий/в/интеграции/в/российское/социокультурное/пространство-Развитие общественной дипломатии и поддержка соотечественников
важная/поддержка//организация/методического/сопровождения/детей/с/рас/в/общеобразовательных/учреждениях-Социальное обслуживание, социальная поддержка и защита граждан
ресурсный/центр/помощи/семьям/имеющим/в/составе/детей/и/взрослых/с/ментальными/особенностями/развития/раскраска-Социальное обслуживание, социальная поддержка и защита граждан
всегда/в/контакте-Социальное обслуживание, социальная поддержка и защита граждан
врачи/помогают/беженцам-Социальное обслуживание, социальная поддержка и защита граждан
историкомемориальная/экспедиция/по/следам/мужества/и/славы/эстафета/поколений-Развитие общественной дипломатии и поддержка соотечественников
своя/профессия-Социальное обслуживание, социальная поддержка и защита граждан
режим/выжить-Социальное обслуживание, социальная поддержка и защита граждан
жить/дальше/управление/ремиссией-Социальное обслуживание, социальная поддержка и защита граждан
все/равны/занятия/адаптивными/видами/спорта/для/детей/с/расстройством/аутистического/спектра/в/донецкой/народной/республике-Развитие общественной дипломатии и поддержка соотечественников
журналистика/милосердия/поддержка/людей/в/трудной/жизненной/ситуации/на/портале/милосердиеru/и/вовлечение/широкой/читательской/аудитории/в/деятельну-Социальное обслуживание, социальная поддержка и защита граждан
штаб/помощи/беженцам-Социальное обслуживание, социальная поддержка и защита граждан
социальнопсихологическая/и/благотворительная/поддержка/семей/с/неизлечимо/больными/детьми/в/период/экономической/нестабильности-Социальное обслуживание, социальная поддержка и защита граждан
классики//века//развивающие/пространства/и/тропы/здоровья/для/наших/детей-Социальное обслуживание, социальная поддержка и защита граждан
домашний/очаг-Социальное обслуживание, социальная поддержка и защита граждан
мы/вместе/оказание/психологической/и/духовнонравственной/помощи/участникам/боевых/действий/получивших/ранения/и/травмы/в/специальной/военной/операц-Социальное обслуживание, социальная поддержка и защита граждан
благотворная/активность-Социальное обслуживание, социальная поддержка и защита граждан
гуманитарно//досуговый/центр/для/детей/в/городе/мариуполь-Развитие общественной дипломатии и поддержка соотечественников
работа/есть/сопровождаемое/трудоустройство/молодых/людей/с/низкими/стартовыми/возможностями/в/новых/экономических/условиях-Социальное обслуживание, социальная поддержка и защита граждан
кемерово//горловка/создание/педагогической/нетворкингстудии/от/учителя/к/учителю-Развитие общественной дипломатии и поддержка соотечественников
проектный/офис/просто/действуй-Развитие общественной дипломатии и поддержка соотечественников
добрый/фудтрак-Социальное обслуживание, социальная поддержка и защита граждан
путешествие/в/конеландию/визит/к/хвостатому/психотерапевту-Социальное обслуживание, социальная поддержка и защита граждан
в/едином/марше-Развитие общественной дипломатии и поддержка соотечественников
чужих/детей/не/бывает-Социальное обслуживание, социальная поддержка и защита граждан
повышение/качества/жизни/детей/и/молодых/взрослых/с/тяжелыми/неизлечимыми/заболеваниями/иили/тяжелыми/множественными/нарушениями/развития/проживающи-Развитие общественной дипломатии и поддержка соотечественников
психологическая/помощь-Социальное обслуживание, социальная поддержка и защита граждан
сотвори/добро//социальная/поддержка/и/оказание/помощи/людям/прибывшим/с/территорий/донбасса/и/украины/а/также/оказавшихся/в/тжс-Социальное обслуживание, социальная поддержка и защита граждан
социокультурная/адаптация/школьников/прибывших/с/территории/украины/и/лднр/через/культурнодосуговую/деятельность-Социальное обслуживание, социальная поддержка и защита граждан
мы/едины-Социальное обслуживание, социальная поддержка и защита граждан
программа/креативной/социальной/адаптации/детей/и/подростков/из/донбасса/своих/не/бросаем-Социальное обслуживание, социальная поддержка и защита граждан
сила/в/открытиях/формирование/непрерывной/системы/дополнительного/образования/в/области/географии/и/смежных/наук/для/молодежи/и/людей/с/ограниченны-Развитие общественной дипломатии и поддержка соотечественников
стажировки/для/защитников/детства/лднр/дорога/домой-Развитие общественной дипломатии и поддержка соотечественников
передышка/для/мамы/особого/ребенка/предоставление/няни/приемным/семьям/воспитывающим/детей/с/овз-Социальное обслуживание, социальная поддержка и защита граждан
быть/рядом/и/быть/вместе-Социальное обслуживание, социальная поддержка и защита граждан
реабилитационная/программа/для/детейпереселенцев/с/днр/гмариуполь/в/городе/набережные/челны/рука/помощи-Социальное обслуживание, социальная поддержка и защита граждан
мы/можем/мы/вместе/центр/социальной/помощи/в/республике/татарстан-Социальное обслуживание, социальная поддержка и защита граждан
центр/наставничества/для/подростков/хулиганодом/в/г/харцызске-Развитие общественной дипломатии и поддержка соотечественников
